cl_kmeans	Sample
12	DRR008476
12	DRR008477
12	DRR008478
2	DRR018422
2	DRR018423
2	DRR018424
2	DRR018425
2	DRR018426
2	DRR018427
2	DRR018428
3	ERR229827
11	ERR229828
11	ERR229829
3	ERR229830
11	ERR229831
11	ERR229832
11	ERR229833
11	ERR229834
11	ERR229835
11	ERR229836
11	ERR229837
11	ERR229838
11	ERR229839
11	ERR229840
11	ERR229842
11	ERR229843
3	ERR229844
11	ERR229846
11	ERR229847
3	ERR229850
11	ERR229851
3	ERR229852
11	ERR229854
3	ERR229856
11	ERR229857
11	ERR229858
6	ERR274308
6	ERR274309
9	ERR274310
9	ERR274311
9	ERR377676
9	ERR377677
9	ERR377678
9	ERR377679
9	ERR377680
9	ERR377681
5	ERR588038
5	ERR588039
5	ERR588041
5	ERR588044
5	ERR588045
5	ERR588046
5	ERR588047
5	ERR754056
5	ERR754057
5	ERR754058
5	ERR754060
5	ERR754061
5	ERR754063
5	ERR754065
5	ERR754066
5	ERR754067
5	ERR754068
5	ERR754070
5	ERR754071
5	ERR754072
5	ERR754073
5	ERR754074
5	ERR754075
5	ERR754077
5	ERR754078
5	ERR754079
5	ERR754081
5	ERR754082
5	ERR754083
5	ERR754084
5	ERR754085
5	ERR754086
5	ERR754089
5	ERR754090
4	SRR019183
5	SRR068956
5	SRR068957
5	SRR068958
5	SRR068959
5	SRR068971
5	SRR068975
5	SRR068976
5	SRR068977
5	SRR068987
4	SRR1001901
4	SRR1001903
4	SRR1001904
4	SRR1001905
4	SRR1001906
4	SRR1001907
4	SRR1001908
4	SRR1001910
5	SRR100209
5	SRR100210
5	SRR100211
5	SRR100212
5	SRR100213
5	SRR100214
5	SRR100215
5	SRR100216
11	SRR1004791
11	SRR1004829
11	SRR1004830
11	SRR1004834
11	SRR1005385
11	SRR1005386
11	SRR1005387
11	SRR1005388
11	SRR1005389
11	SRR1005390
11	SRR1005391
11	SRR1005392
11	SRR1005393
11	SRR1005394
11	SRR1005395
11	SRR1005396
11	SRR1005397
11	SRR1005398
11	SRR1005399
11	SRR1005400
11	SRR1005401
11	SRR1005402
9	SRR1013878
9	SRR1013880
9	SRR1013881
9	SRR1013882
9	SRR1013885
9	SRR1013886
9	SRR1013887
9	SRR1013890
9	SRR1013891
9	SRR1013894
9	SRR1013899
9	SRR1013900
9	SRR1013912
9	SRR1013913
9	SRR1013915
9	SRR1013918
9	SRR1013925
4	SRR1019221
11	SRR1019222
2	SRR1019436
2	SRR1019437
2	SRR1019438
2	SRR1019439
2	SRR1019440
2	SRR1019441
2	SRR1019442
2	SRR1019443
4	SRR1020621
4	SRR1020622
4	SRR1020623
4	SRR1020624
9	SRR1037375
9	SRR1037376
5	SRR1039910
5	SRR1039911
5	SRR1039912
5	SRR1039913
5	SRR1039914
5	SRR1039915
5	SRR1039916
5	SRR1039917
5	SRR1039918
5	SRR1039919
5	SRR1039920
5	SRR1039921
5	SRR1039922
5	SRR1039923
5	SRR1039924
5	SRR1039925
5	SRR1039926
5	SRR1039927
5	SRR1039928
5	SRR1039929
4	SRR1044945
4	SRR1044946
4	SRR1044947
4	SRR1044948
12	SRR1046847
6	SRR1046848
12	SRR1046849
12	SRR1046850
6	SRR1046851
12	SRR1046852
12	SRR1046853
6	SRR1046854
